1,3596;15283;11651;4542;13188
2,16746;13742;12897;1483;15423
3,7873;2894;6352;792;480
4,9037;1351;126;710;5041
5,1301;11878;5500;6401;1271
6,691;8035;671;2879;4465
7,8967;11424;8555;9806;6248
8,8816;2527;5843;11106;3191
9,6161;4507;1520;4364;3447
10,13416;8224;1132;4850;4369
11,11028;966;4703;4993;8969
12,4610;6402;4575;12314;4552
13,8259;4944;13917;15325;788
14,4002;2879;3076;6356;2590
15,7454;4421;13389;12022;6190
16,11641;10463;7344;963;13881
17,12420;13929;12202;886;14023
18,4140;10486;14965;11348;2722
19,5995;3065;16873;742;13956
20,1021;14177;15021;13492;12311
21,5617;1198;4958;9006;8807
22,15636;4389;15327;11650;1198
23,2984;9760;3639;1708;287
24,2194;7261;16611;4178;467
25,1654;13973;4202;29;15201
26,1790;3144;7519;347;5896
27,4019;12975;8579;5746;16827
28,3325;6801;8705;13118;6567
29,6481;14843;1346;1520;9732
30,3316;8384;12521;7520;13637
31,14505;1641;1551;1564;2025
32,16207;3819;9658;7769;12974
33,7546;9103;1021;10606;8718
34,16610;12116;12531;15859;13007
35,2551;71;7383;8733;4172
36,13719;3663;2654;2481;3831
37,2270;9689;11237;5910;6414
38,3831;3974;6327;2902;15450
39,8127;13259;15760;11338;3082
40,7915;2628;3040;5636;5624
41,7571;10995;11930;5517;917
42,7632;12334;1443;1148;2442
43,4258;7915;3052;4790;11742
44,10976;7381;13644;1035;13464
45,3913;3420;217;12193;512
46,5514;620;5234;3142;12523
47,16437;16620;15522;16610;13002
48,1621;15792;1811;12;6433
49,9694;3332;16816;3442;2882
50,5210;10120;1620;16665;5482
51,6339;1666;4903;7472;945
52,288;14969;10772;15690;12681
53,4610;11538;262;450;8178
54,13146;12225;11820;6304;5788
55,880;3200;2265;353;7702
56,16278;14308;12138;456;13550
57,6835;2030;12465;180;1945
58,6360;15277;15116;15365;9001
59,14279;10908;14752;9557;11667
60,10926;7040;6921;2839;1689
61,4629;14611;1833;5961;15121
62,10845;2185;8566;3794;4344
63,15122;12632;615;5839;9916
64,11815;9803;11813;1334;2908
65,13217;4117;4696;5107;14090
66,873;3601;7937;7997;11972
67,2030;598;8224;1133;15117
68,2359;11686;2989;12418;1463
69,8549;6202;11475;4390;11405
70,14496;15210;13634;15253;5393
71,6481;197;4793;7575;6347
72,11897;11723;3517;3926;5199
73,1143;3836;29;8980;10371
74,8629;5292;9383;4135;7356
75,9558;1688;16155;14431;15818
76,14289;6155;3910;1558;14822
77,9495;2302;898;8012;13967
78,7919;4650;3019;12358;9499
79,13773;13779;13777;13703;13681
80,3295;3139;2795;11092;15740
81,7677;5667;827;4478;25
82,11930;3168;10759;2201;2753
83,9036;8201;7769;6302;3754
84,9572;5008;10476;1434;1726
85,12056;2732;2819;14133;6278
86,1210;10032;8879;1902;13574
87,14053;13295;6795;6442;14412
88,1827;1831;10656;1837;1839
89,2987;14908;4433;12651;13297
90,10773;7350;2760;4463;12668
91,8792;10653;1161;4247;7277
92,14327;288;150;966;10305
93,3040;3983;3280;4803;8859
94,13386;7738;6505;1057;5399
95,318;383;4953;151;2333
96,6128;7599;10508;87;3435
97,4794;183;682;8009;4790
98,3074;15098;14566;8705;2817
99,6030;9061;3247;5057;8112
100,4428;7487;10334;8040;2829
101,8027;5399;7111;5292;6769
102,1186;8738;10614;6569;608
103,9234;681;7683;4012;9815
104,15419;4977;11338;10679;15072
105,2309;4063;524;10899;11013
106,2516;596;12010;4720;9860
107,16900;16832;16734;4302;324
108,11671;10579;10772;10444;4743
109,1246;1401;2370;2207;3087
110,12527;7391;5589;2729;1867
111,9101;11080;16342;11468;313
112,3943;10505;10222;14114;5341
113,5517;168;10679;2631;9615
114,5233;14529;13736;9164;14656
115,9828;5693;6427;9865;8911
116,608;6896;1161;5913;12842
117,2609;3322;1831;906;6469
118,531;14284;15779;1987;12666
119,2760;6996;14073;14337;3625
120,5423;6771;7733;14562;525
121,8705;15816;6540;12174;2911
122,4962;10359;13506;12588;5509
123,15166;12440;12809;14794;11968
124,13657;15829;3897;9027;2540
125,560;3032;1135;6049;1931
126,8118;2209;8619;14056;2803
127,14256;9715;15986;16417;16707
128,7268;7420;11808;3170;10317
129,16928;11797;15875;15822;5944
130,12513;8137;9542;9130;6189
131,12881;9113;15619;12478;12243
132,8814;7934;3737;11125;6216
133,16754;16905;15752;10330;1490
134,3669;11618;12731;3024;9527
135,12044;8068;1417;4539;11084
136,11065;7596;1085;13434;1841
137,1710;3325;3184;7032;7574
138,1297;6662;5764;9198;8219
139,9567;6270;803;1105;9211
140,7884;832;2807;860;864
141,16048;15883;15805;15485;16881
142,16953;2476;11100;2779;9424
143,3298;9211;4496;175;6648
144,3982;8027;15687;10496;16044
145,6003;13589;2094;5566;181
146,13021;13984;12691;16692;13864
147,9760;2246;286;4577;4165
148,16450;9917;2209;5638;11494
149,4805;5585;4328;12048;1234
150,8914;10431;4977;11813;15447
151,2757;3374;13788;1233;6259
152,5329;8939;8502;10141;7448
153,2563;13784;14999;7565;10403
154,18;11662;11748;12292;13011
155,1643;3042;1956;29;6670
156,12717;11073;12124;15814;2313
157,13183;2035;3739;13248;9050
158,2914;9176;12418;2990;11813
159,8965;1618;610;1358;3936
160,10435;11543;5300;1105;14741
161,3412;3748;1963;1827;8755
162,16758;2578;3807;16769;16529
163,7518;4124;4805;10586;6069
164,5184;1153;2614;8394;844
165,8793;8373;4449;7826;2536
166,14148;15358;8363;4184;13569
167,12269;13362;2134;12179;1548
168,4767;1736;2654;10727;1473
169,668;9203;9504;6870;12583
170,2999;7391;12485;13616;292
171,2759;11084;3352;3411;10006
172,5184;10477;545;6639;3389
173,8159;10727;8484;7111;12867
174,5209;5076;7815;3553;5364
175,16825;4486;15464;12768;3289
176,15831;1351;1025;10383;11756
177,1207;8948;935;3337;15260
178,5555;5553;11517;3974;5390
179,7621;5441;1183;2296;10492
180,4442;14030;5126;12175;9020
181,2838;13127;564;10908;12237
182,7735;5528;2551;16603;4345
183,6778;14505;9270;14180;13892
184,5321;2297;6872;4841;5514
185,2538;8324;7001;9127;10857
186,3778;1247;13194;5393;7398
187,2392;4235;1350;8393;1143
188,14446;1611;12726;16637;9225
189,7607;9330;10699;10710;9764
190,7210;4773;13242;4913;6798
191,2078;5785;4682;4977;2706
192,2451;7839;2453;1785;4591
193,1565;16563;16585;16830;13046
194,11645;2269;2844;5270;5563
195,5600;12539;1501;8303;2827
196,16546;55;15662;4870;6105
197,9617;8888;1754;13309;6690
198,3973;7467;10212;10402;13644
199,4140;4621;11900;13521;12980
200,4327;5045;9865;11710;13894
201,13773;13779;13777;13703;13681
202,14647;16632;16800;15172;16525
203,11330;8234;8914;8714;5193
204,14264;6872;16115;12812;6706
205,806;8816;870;15774;15664
206,13152;9093;7392;5616;5636
207,9643;3464;16665;16734;6080
208,4251;7915;154;12674;4257
209,15283;2918;8386;4169;9788
210,6965;219;5938;7211;1226
211,5184;6636;16154;1150;4557
212,3049;7449;3584;1202;8912
213,7;1210;1181;3347;248
214,12175;12022;844;448;6526
215,3090;5399;1131;5373;6352
216,2457;1646;4049;8249;3157
217,718;1708;2869;9871;14032
218,8453;1219;9965;1181;6773
219,9539;4283;12876;7037;6640
220,11165;15812;14667;15277;3295
221,9759;5219;1147;8967;3737
222,714;531;55;62;12904
223,10605;11219;13483;7546;10088
224,5608;7731;6006;3195;2399
225,9555;4141;7961;14013;1884
226,15212;1267;11164;11037;5936
227,287;5844;1370;12469;9118
228,333;15089;7202;8914;8908
229,1633;14070;1543;11057;440
230,2363;2623;6389;2614;5756
231,4507;4364;3447;4904;8812
232,4777;16732;8127;2939;13345
233,1778;123;7963;8542;2099
234,6560;14787;6790;16032;16438
235,15017;8982;5957;4558;12032
236,13805;5394;11715;12027;6018
237,6243;6688;9008;14978;3825
238,9204;8874;15583;16502;944
239,5409;12647;10113;9013;880
240,13925;14476;11310;13070;1570
241,3353;1431;8442;5775;6128
242,4881;9597;5092;13286;1964
243,13383;8669;10362;10265;7618
244,5298;13043;7549;14650;3837
245,8722;435;360;8383;13361
246,8997;8907;1569;12166;8669
247,16446;9545;8842;11872;12074
248,1520;15169;3432;1159;7040
249,4490;552;5399;4051;10368
250,2937;2326;3263;2472;11141
251,6381;11591;11209;7492;1068
252,894;10066;1744;3415;7510
253,15538;15522;16155;5167;13461
254,12990;16950;14499;14683;15645
